,0
I(y>0.0),2.9315486341782093
I(y>1.0),2.203900815654136
I(y>2.0),0.5453329456595108
I(y>3.0),-0.9913023161483314
I(y>4.0),-4.085233541961381
Codex,1.333236070444427
Gemini,0.564237545476313
field_cb_benefit_presence_strength_code,0.3085469185930101
field_cb_cost_intensity_code,0.3948989041472372
field_cb_cost_presence_strength_code,0.6902485707847829
field_detection_verification_presence_strength_code,-4.962767473313793
field_dppra_a_strength_code,-1.6130210128973108
field_dppra_alignment_score_code,-2.0245584949225366
field_dppra_d_strength_code,2.6698447745005045
field_dppra_p1_strength_code,-0.6983937151809602
field_dppra_p2_strength_code,-2.021761551806002
field_dppra_r_strength_code,-3.1145431731912905
field_eth_accountability_code,0.9216464462393339
field_eth_autonomy_code,-0.4875822527268978
field_eth_beneficence_eth_code,0.4575355607467279
field_eth_beneficence_mech_code,-0.4123836527500267
field_eth_equity_code,-0.5302074196858012
field_eth_integrity_code,0.6244122505626386
field_eth_justice_code,0.011546100471039699
field_eth_nonmaleficence_code,0.1283528009876915
field_eth_privacy_code,-0.8530399884914279
field_eth_transparency_code,0.5466448345399957
field_int_academic_intensity_code,-5.17718555018618
field_int_assessment_intensity_code,-4.246338245158642
field_int_data_prov_intensity_code,-1.2636182263515265
field_int_epistemic_intensity_code,-1.1152256062010313
field_int_research_intensity_code,-4.09583345230643
field_int_system_tevv_intensity_code,-1.0051308821404366
field_journal_evidence_quality_strength_code,-0.6282484590203178
field_surveillance_monitoring_presence_strength_code,-4.0749344510918215
