,0
I(y>0.0),2.8860317808183664
I(y>1.0),2.1584458742688093
I(y>2.0),0.5458951131426855
I(y>3.0),-1.025847989096404
I(y>4.0),-4.185159330315557
Codex,1.379374652317017
Gemini,0.6594624770941419
field_cb_benefit_presence_strength_code,0.31518232875774416
field_cb_cost_intensity_code,0.2942332461913306
field_cb_cost_presence_strength_code,0.5520420139697575
field_detection_verification_presence_strength_code,-4.973913035023311
field_dppra_a_strength_code,-1.501205150131518
field_dppra_alignment_score_code,-1.8558035650787028
field_dppra_d_strength_code,2.652039721469939
field_dppra_p1_strength_code,-0.5458542934735436
field_dppra_p2_strength_code,-1.77619015713161
field_dppra_r_strength_code,-2.749981100360608
field_eth_accountability_code,0.8967340831310744
field_eth_autonomy_code,-0.5005926256477297
field_eth_beneficence_eth_code,0.30469633675116353
field_eth_beneficence_mech_code,-0.3814911120150802
field_eth_equity_code,-0.7680759595757016
field_eth_integrity_code,0.720980982467689
field_eth_justice_code,-0.3999536245121117
field_eth_nonmaleficence_code,0.33622373562902086
field_eth_privacy_code,-1.001427582883857
field_eth_transparency_code,0.5520420139697569
field_int_academic_intensity_code,-5.38613788718312
field_int_assessment_intensity_code,-4.3879590338298975
field_int_data_prov_intensity_code,-1.3782628175522746
field_int_epistemic_intensity_code,-1.1116884562008134
field_int_research_intensity_code,-4.147753862267501
field_int_system_tevv_intensity_code,-0.7768337893437862
field_journal_evidence_quality_strength_code,-0.648251805329392
field_surveillance_monitoring_presence_strength_code,-4.086816261457385
