,0
intercept,-1.6834696490447454
Codex,1.853851595549018
Gemini,0.9124348432259569
field_cb_benefit_presence_strength_code,0.467620109786749
field_cb_cost_intensity_code,0.41994034984758155
field_cb_cost_presence_strength_code,0.8676101616232031
field_dppra_a_strength_code,-0.8276177950796565
field_dppra_alignment_score_code,-2.6232677024261886
field_dppra_d_strength_code,2.983125731532734
field_dppra_p1_strength_code,0.2507750749441765
field_dppra_p2_strength_code,-1.5142982771927616
field_dppra_r_strength_code,-2.781128059029075
field_eth_accountability_code,1.6280682451530197
field_eth_autonomy_code,-0.7924999051722404
field_eth_beneficence_eth_code,0.6799844257513421
field_eth_beneficence_mech_code,-0.10457608801685739
field_eth_equity_code,0.0766559919437496
field_eth_integrity_code,1.1760413160984358
field_eth_justice_code,0.12702679360080094
field_eth_nonmaleficence_code,0.7503427679770454
field_eth_privacy_code,-0.3814821459354429
field_eth_transparency_code,1.2731126083919975
field_int_academic_intensity_code,-4.0725443633151865
field_int_assessment_intensity_code,-3.36404613255752
field_int_data_prov_intensity_code,-0.8276177950796565
field_int_epistemic_intensity_code,-1.135484933372543
field_int_research_intensity_code,-4.072544363315186
field_int_system_tevv_intensity_code,0.025708180144703364
field_journal_evidence_quality_strength_code,-1.228252717712528
