source_id,sector,Claude,Codex,Gemini
SRC_000002,GOV,3.0384615384615383,3.3461538461538463,3.269230769230769
SRC_000003,GOV,2.8846153846153846,3.3076923076923075,2.9615384615384617
SRC_000004,GOV,2.769230769230769,3.3076923076923075,3.1923076923076925
SRC_000005,GOV,2.3076923076923075,3.1538461538461537,2.8846153846153846
SRC_000006,JRN,2.5185185185185186,3.4444444444444446,3.074074074074074
SRC_000007,JRN,3.0,3.3333333333333335,2.888888888888889
SRC_000008,JRN,2.037037037037037,3.2222222222222223,2.5555555555555554
SRC_000009,JRN,2.3333333333333335,2.8518518518518516,2.5555555555555554
SRC_000010,FRM,1.8571428571428572,2.5714285714285716,1.8928571428571428
SRC_000011,FRM,1.4642857142857142,2.2857142857142856,2.0714285714285716
SRC_000012,FRM,1.6785714285714286,2.2857142857142856,1.6428571428571428
SRC_000013,FRM,1.6428571428571428,1.7857142857142858,2.0
SRC_000014,FRM,1.8214285714285714,2.4285714285714284,2.1785714285714284
SRC_000015,COR,2.3846153846153846,3.1923076923076925,2.8846153846153846
SRC_000016,COR,2.423076923076923,2.8076923076923075,2.923076923076923
SRC_000017,INS,2.1923076923076925,2.9615384615384617,2.8461538461538463
SRC_000018,INS,2.3461538461538463,3.1923076923076925,2.3846153846153846
SRC_000019,INS,1.9615384615384615,3.1153846153846154,2.6923076923076925
SRC_000020,GOV,3.1538461538461537,3.923076923076923,3.3846153846153846
SRC_000021,GOV,2.3846153846153846,3.5,3.076923076923077
SRC_000022,GOV,2.6153846153846154,3.3461538461538463,3.076923076923077
SRC_000023,GOV,2.576923076923077,2.9615384615384617,3.076923076923077
SRC_000024,INS,2.769230769230769,3.3846153846153846,3.076923076923077
SRC_000025,COR,2.076923076923077,3.0,3.0
SRC_000026,COR,1.7307692307692308,2.6923076923076925,2.3846153846153846
SRC_000027,COR,2.0,2.6153846153846154,2.6923076923076925
SRC_000028,GOV,2.3076923076923075,2.9615384615384617,3.0
SRC_000029,INS,2.6153846153846154,3.6153846153846154,3.076923076923077
SRC_000030,INS,2.5,3.269230769230769,3.0384615384615383
SRC_000031,GOV,2.3846153846153846,3.1923076923076925,2.769230769230769
SRC_000032,INS,2.423076923076923,3.3846153846153846,3.3076923076923075
SRC_000033,INS,2.1923076923076925,3.230769230769231,2.769230769230769
SRC_000034,INS,2.5384615384615383,3.1538461538461537,2.6923076923076925
SRC_000035,JRN,2.259259259259259,3.037037037037037,2.5185185185185186
SRC_000036,JRN,2.3333333333333335,3.074074074074074,2.111111111111111
SRC_000037,JRN,2.6296296296296298,3.2962962962962963,2.185185185185185
SRC_000038,JRN,2.4444444444444446,3.3333333333333335,2.3333333333333335
SRC_000039,JRN,2.4074074074074074,3.074074074074074,2.4074074074074074
SRC_000040,FRM,0.4444444444444444,1.3333333333333333,1.5555555555555556
SRC_000041,FRM,1.6428571428571428,2.5357142857142856,2.0714285714285716
SRC_000042,JRN,2.074074074074074,2.740740740740741,1.962962962962963
SRC_000043,JRN,2.0,2.3703703703703702,1.962962962962963
SRC_000044,JRN,1.8518518518518519,2.4444444444444446,1.8148148148148149
SRC_000045,JRN,2.3703703703703702,3.0,2.3333333333333335
SRC_000046,JRN,2.2962962962962963,2.962962962962963,2.3703703703703702
SRC_000047,INS,2.0,2.6923076923076925,2.5
SRC_000048,INS,2.3076923076923075,3.0,2.3846153846153846
SRC_000049,INS,2.3461538461538463,2.8846153846153846,2.576923076923077
SRC_000050,INS,2.6538461538461537,3.230769230769231,3.4615384615384617
SRC_000051,INS,2.8076923076923075,3.423076923076923,2.9615384615384617
SRC_000052,GOV,2.5384615384615383,3.1538461538461537,2.8076923076923075
SRC_000053,GOV,2.4615384615384617,3.4615384615384617,2.9615384615384617
SRC_000054,GOV,2.269230769230769,3.230769230769231,3.269230769230769
SRC_000055,GOV,2.576923076923077,3.1153846153846154,2.6538461538461537
SRC_000056,GOV,3.269230769230769,3.6923076923076925,3.5384615384615383
SRC_000057,FRM,0.7857142857142857,1.0714285714285714,1.0
SRC_000058,FRM,1.1428571428571428,1.4285714285714286,1.0
SRC_000059,FRM,1.5714285714285714,2.1785714285714284,1.75
SRC_000060,FRM,2.0,3.142857142857143,2.4285714285714284
SRC_000061,FRM,1.3928571428571428,1.9285714285714286,1.5357142857142858
SRC_000062,COR,2.269230769230769,2.8461538461538463,2.6923076923076925
SRC_000063,COR,2.1538461538461537,3.1153846153846154,2.8076923076923075
SRC_000064,COR,2.6153846153846154,3.5,3.1923076923076925
SRC_000065,COR,2.0,3.5,2.923076923076923
SRC_000066,COR,2.1153846153846154,2.8461538461538463,2.6153846153846154
