,0
I(y>0.0),2.798163115123894
I(y>1.0),2.0957178734261612
I(y>2.0),0.5856721851590713
I(y>3.0),-0.9551121743620751
I(y>4.0),-3.977964505144951
Codex,1.298277654754908
Gemini,0.5951957621532369
field_cb_benefit_presence_strength_code,0.28822030601840193
field_cb_cost_intensity_code,0.1734444641027576
field_cb_cost_presence_strength_code,0.40582834374219645
field_detection_verification_presence_strength_code,-4.849980353039519
field_dppra_a_strength_code,-1.510347046813424
field_dppra_alignment_score_code,-1.7979586813611452
field_dppra_d_strength_code,2.345618026404007
field_dppra_p1_strength_code,-0.5678962354445303
field_dppra_p2_strength_code,-1.80841801567326
field_dppra_r_strength_code,-2.788647615172225
field_eth_accountability_code,0.6226653380435038
field_eth_autonomy_code,-0.5678962354445304
field_eth_beneficence_eth_code,0.16085633287446627
field_eth_beneficence_mech_code,-0.17972641890089264
field_eth_equity_code,-1.040487306626325
field_eth_integrity_code,0.6088011550771804
field_eth_justice_code,-0.5345716285450154
field_eth_nonmaleficence_code,0.16085633287446602
field_eth_privacy_code,-1.1650076877323852
field_eth_transparency_code,0.32709656437144524
field_int_academic_intensity_code,-5.423740126209203
field_int_assessment_intensity_code,-4.307480406151815
field_int_data_prov_intensity_code,-1.550381478543113
field_int_epistemic_intensity_code,-1.13402433860615
field_int_research_intensity_code,-4.212057582037938
field_int_system_tevv_intensity_code,-0.7861984287519477
field_journal_evidence_quality_strength_code,-0.6277963543152297
field_surveillance_monitoring_presence_strength_code,-3.9732955370350926
